time,antenna,tagid,rssi
2021-08-30 15:00:18,2,52666678,-72
2021-08-30 15:00:21,4,52666678,-72
2021-08-30 15:00:27,4,52666678,-72
2021-08-30 15:02:15,4,52666678,-72
2021-08-30 15:02:19,4,52666678,-72
2021-08-30 15:02:29,4,52666678,-72
2021-08-30 15:02:33,4,52666678,-72
2021-08-30 15:03:42,4,52666678,-72
2021-08-30 15:04:58,4,52666678,-72
2021-08-30 15:05:08,4,52666678,-72
2021-08-30 15:06:26,4,52666678,-72
2021-08-30 15:06:40,4,52666678,-72
2021-08-30 15:09:27,4,52666678,-72
2021-08-30 15:10:07,4,52666678,-72
2021-08-30 15:10:08,4,52666678,-72
2021-08-30 15:12:12,4,52666678,-72
2021-08-30 15:12:32,4,52666678,-72
2021-08-30 15:12:33,4,52666678,-72
2021-08-30 15:12:34,4,52666678,-72
2021-08-30 15:12:37,4,52666678,-72
2021-08-30 15:14:17,4,52666678,-72
2021-08-30 15:15:03,4,52666678,-72
2021-08-30 15:15:10,4,52666678,-72
2021-08-30 15:15:40,4,52666678,-72
2021-08-30 15:15:44,4,52666678,-72
2021-08-30 15:15:56,4,52666678,-72
2021-08-30 15:16:11,4,52666678,-72
2021-08-30 15:16:14,4,52666678,-72
2021-08-30 15:16:21,4,52666678,-72
2021-08-30 15:16:31,4,52666678,-72
2021-08-30 15:16:36,4,52666678,-72
2021-08-30 15:18:17,4,52666678,-72
2021-08-30 15:18:29,4,52666678,-72
2021-08-30 15:18:37,4,52666678,-72
2021-08-30 15:18:59,4,52666678,-72
2021-08-30 15:19:04,4,52666678,-72
2021-08-30 15:19:07,4,52666678,-72
2021-08-30 15:19:10,4,52666678,-72
2021-08-30 15:19:19,4,52666678,-72
2021-08-30 15:19:24,4,52666678,-72
2021-08-30 15:19:42,4,52666678,-72
2021-08-30 15:19:47,4,52666678,-72
2021-08-30 15:19:55,4,52666678,-72
2021-08-30 15:20:05,4,52666678,-72
2021-08-30 15:20:07,4,52666678,-72
2021-08-30 15:21:50,4,52666678,-72
2021-08-30 15:24:25,4,52666678,-72
2021-08-30 15:25:40,1,52666678,-72
2021-08-30 15:26:19,4,52666678,-72
2021-08-30 15:26:24,4,52666678,-72
2021-08-30 15:26:26,4,52666678,-72
2021-08-30 15:26:55,4,52666678,-72
2021-08-30 15:27:12,4,52666678,-72
2021-08-30 15:27:22,4,52666678,-72
2021-08-30 15:28:21,4,52666678,-72
2021-08-30 15:28:38,4,52666678,-72
2021-08-30 15:29:02,4,52666678,-72
2021-08-30 15:29:21,4,52666678,-72
2021-08-30 15:29:36,4,52666678,-72
2021-08-30 15:29:42,4,52666678,-72
2021-08-30 15:31:14,4,52666678,-72
2021-08-30 15:40:22,2,52666678,-72
2021-08-30 15:45:05,4,52666678,-72
2021-08-30 15:53:49,2,52666678,-72
2021-08-30 15:53:51,2,52666678,-72
2021-08-30 15:54:45,2,52666678,-72
2021-08-30 16:01:01,4,52666678,-72
2021-08-30 16:13:29,4,52666678,-72
2021-08-30 16:13:49,4,52666678,-72
2021-08-30 16:13:56,4,52666678,-72
2021-08-30 16:14:21,4,52666678,-72
2021-08-30 16:23:36,4,52666678,-72
2021-08-30 16:36:03,4,52666678,-72
2021-08-30 16:42:21,4,52666678,-72
2021-08-30 16:48:50,4,52666678,-72
2021-08-30 16:48:51,4,52666678,-72
2021-08-30 16:49:29,4,52666678,-72
2021-08-30 16:49:39,4,52666678,-72
2021-08-30 16:50:37,4,52666678,-72
2021-08-30 16:50:43,4,52666678,-72
2021-08-30 16:50:55,4,52666678,-72
2021-08-30 16:53:42,4,52666678,-72
2021-08-30 16:56:17,4,52666678,-72
2021-08-30 16:58:22,4,52666678,-72
2021-08-30 14:22:10,4,52666678,-73
2021-08-30 14:24:00,4,52666678,-73
2021-08-30 14:24:14,2,52666678,-73
2021-08-30 14:25:25,4,52666678,-73
2021-08-30 14:26:01,4,52666678,-73
2021-08-30 14:26:24,4,52666678,-73
